ID,Title,Classification,Resp Group,Prim Resp,Initial Resp Group,Resolved By,Type Category,Service Category,Service,Description
19856101,Monitoring generated Counter ALARM at 10:50:37 am 3-Mar-22 on eg-mxl91127jq.elting-gym.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 10:50:37 am 3-Mar-22 on eg-mxl91127jq.elting-gym.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 10:50:37 am 3-Mar-22
Event Time: 3:50:37 pm 3-Mar-22 UTC
Log Value: 3.802305
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19908408,Monitoring generated Counter ALARM at 12:13:41 pm 11-Mar-22 on wh-8ksj3f3.wooster-hall.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 12:13:41 pm 11-Mar-22 on wh-8ksj3f3.wooster-hall.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 12:13:41 pm 11-Mar-22
Event Time: 5:13:41 pm 11-Mar-22 UTC
Log Value: 2.049469
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19862342,Connect to Bruno Server,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,System User,Systems and Networking,Remote Application and Access,VPN - Virtual Private Network,I bought a new computer and need to connect to my dept. server from home. thanks
19772971,Adobe Issue,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Mia Grace Naglieri,Service Desk,None,None,"Hi there 
 


 
 
I have access to the desktop version of Adobe on my home PC and it works fine if I am logged in to Creative Cloud. I am away now and trying to install Adobe on my laptop but when I try to login i get an error as below. I am using the Enterprise Login feature
 and my SUNY email and pw. Can you assist please? 
 


 
 
 
 
Access Denied 
 
 
 
You do not have access to this service.

Contact your IT administrator to gain access, or sign
 in with an Adobe ID. 
 


 
 
 


 
 
 
 
 
 
 Mathew Swerdloff, EdD 
 
 Adjunct Lecturer 
 
 Department of Educational Studies & Leadership 
 
 Old Main 108 
 
 SUNY New Paltz 
 
 One Hawk Drive 
 
 New Paltz, NY 12561 
 
 Phone: 845-257-2831 
 
 Fax: 845-257-2859"
19793143,Audio drives update,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Service Desk,Audio Visual,Classroom and Lab Technology Issue,Ray asked me to submit a ticket to have the Audio Drives updated on my laptop. When in a Webex meeting my audio does not work for the others to hear me talking.
19842283,computer update,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Service Desk,None,None,"Good day, 
 This morning I received a notification on my computer (not via email) purporting to be from Dell (I have a Dell laptop) noting the availability of updates. I ignored the notification, but it has returned. I cannot be certain that this
 is a trustworthy source. 
 Can you double-check? 
 With thanks, 
 
 Jonathan Schwartz 
 Political Science & IR 
 845-257-2627 
 Sent from 
Mail for Windows"
19958466,Using Excel spreadsheet and it gives an error message,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Systems and Networking,Office 365,Office 365,I can't copy spreadsheets and paste or make edits in excel spreadsheets.
19767507,Monitoring generated Counter ALARM at 2:49:23 pm 17-Feb-22 on eg-2ua7462413.elting-gym.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 2:49:23 pm 17-Feb-22 on eg-2ua7462413.elting-gym.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 2:49:23 pm 17-Feb-22
Event Time: 7:49:23 pm 17-Feb-22 UTC
Log Value: 1.831055
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19915679,Monitoring generated Counter ALARM at 9:38:09 am 14-Mar-22 on vh-2ua7142131.vh.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 9:38:09 am 14-Mar-22 on vh-2ua7142131.vh.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 9:38:09 am 14-Mar-22
Event Time: 1:38:09 pm 14-Mar-22 UTC
Log Value: 3.904396
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
19797029,Monitoring generated Counter ALARM at 3:55:19 am 23-Feb-22 on om-mxl8491h77.old-main.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 3:55:19 am 23-Feb-22 on om-mxl8491h77.old-main.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 3:55:19 am 23-Feb-22
Event Time: 8:55:19 am 23-Feb-22 UTC
Log Value: 4.104765
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned

 "
19803434,Monitoring generated Counter ALARM at 4:01:22 pm 23-Feb-22 on om-mxl0122v9c.old-main.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Kevin Saunders,General,None,None,"Monitoring generated Counter ALARM at 4:01:22 pm 23-Feb-22 on om-mxl0122v9c.old-main.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 4:01:22 pm 23-Feb-22
Event Time: 9:01:22 pm 23-Feb-22 UTC
Log Value: 0.332009
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned

 "
19832156,No Internet Access,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Desktop Support,Networking/WiFi,Wireless Network Access,
19960274,I am about to get kicked off MS 365--,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Systems and Networking,Office 365,Office 365,"when I opened an attachment in email I couldn't enable editing and there was a message that said--Couldn't verify your account--we are having trouble verifying your Microsoft 365 account on this computer. Most features will b4 turned off by March 25th--WTF?????

Can you please fix this?"
19967385,Computer won't connect to network drives,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Desktop Support,Networking/WiFi,Wired Network Access (Issues),I cannot connect to the majority of my network drives and thus cannot access a large portion of my files needed for work. This was also happening last week and it happens from time to time. I tried restarting the computer and it did not fix the issue.
19919744,Remote Desktop Assistance,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,Brendan Gannon,Desktop Support,None,None,"Hello, 
 


 
 
I frequently use remote desktop access my work computer from my personal computer. I recently got a new personal computer and have not been able to get the remote desktop working -- I do have the VPN setup and on. (It also does not seem to be working on my
 previous personal computer so it may be unrelated.) 
 


 
 
For the computer, I am using: JFT-MXL9311QW3.admin.newpaltz.edu 
 
For the User name, I am using: admin/minkoffs 
 


 
 
Any assistance you could provide would be most appreciated. 
 


 
 
Take care, 
 
Scott 
 
 


 
 
 
 
 
 
 
 
 
 
 
--

 Scott L. Minkoff

 
 Associate Professor

SUNY New Paltz, Department of Political Science

 
 scottminkoff.com"
19974684,Monitoring generated Counter ALARM at 7:31:35 am 23-Mar-22 on sub-2ua4180s6q.sub.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Max Kenney,General,None,None,"Monitoring generated Counter ALARM at 7:31:35 am 23-Mar-22 on sub-2ua4180s6q.sub.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 7:31:35 am 23-Mar-22
Event Time: 11:31:35 am 23-Mar-22 UTC
Log Value: 1.75947
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20455485,Gift Officer,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Systems and Networking,Networking/WiFi,Wireless Network Access,I am traveling for the college for the next ten days. My office laptop won’t connect with the Wi-Fi I have in my hotel because it fails the security certificate test. This may be user error butI definitely need to fix it.
20832331,Re: desktop in OM 331a,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,,Service Desk,None,None,"This is Maya Projansky writing from my personal email account.


Username: projansm@newpaltz.edu



X2836







 
 
 
 
 
 





 
 
 
 
 
 





 
 
 
 
 
 



Sent from my iPhone"
20517047,Monitoring generated Counter ALARM at 6:41:10 am 14-Jun-22 on upd-s2.service-building.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,,Desktop Support,None,None,"Monitoring generated Counter ALARM at 6:41:10 am 14-Jun-22 on upd-s2.service-building.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 6:41:10 am 14-Jun-22
Event Time: 10:41:10 am 14-Jun-22 UTC
Log Value: 4.931136
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20815410,Virus Notification,Incident,Desktop Support - Faculty/Staff,Bridget Goodwin,Service Desk,Bridget Goodwin,Service Desk,None,None,"Good Morning, 
 


 
 
I hope this email finds you well! When I arrived at work and turned on my computer today, a notification popped up saying that ""your computer is damaged by Trojan"". I called the Help Desk and they asked me to send a screenshot of the message to this email address
 so that a ticket could be made. Please let me know what you need me to do! 
 


 
 
Thank you! 
 
 


 
 
 
 
 Best, 
 
 Paige Olscamp 
 
 

 
 
 Assistant Director of Freshman Admission 
 
 Welcome Center Coordinator 
 
 Office of Undergraduate Admission 
 
 State University of New York at New Paltz 
 
 100 Hawk Drive 
 
 New Paltz, NY, 12561 
 
 

 
 
 Phone: (845) 257-3214 
 
 Fax: (845) 257-3209"
20830363,For Ticket - Kristine Harris - Acrobat sign in issue screen shot,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Sai Pavan Veluguri,Service Desk,None,None,"Hi Help Desk folks, 
 
Thanks in advance for putting in a ticket for this. 
 
I need to open a PDF and am being asked by Adobe to ""sign in.""

 
 
 
 
I did sign in using my SUNY NP email and password and dual factor authentication, but instead of becoming active, I then get this window.

 
 
 

 
 
 
No idea what to write here. So I can't use PDFs right now. Urgent for work. Please help. Thanks - KH

 
 


 
 
 
 
 
 
 
 
__________________

 
 
Kristine Harris ??? 
 
Associate Professor, Department of History & Asian Studies Program 
 
Deputy Chair & Graduate Coordinator, Department of History 
 
State University of New York - New Paltz 
 
harrisk@newpaltz.edu"
20497573,Monitoring generated Counter ALARM at 3:15:08 pm 9-Jun-22 on vh-mxl0164v4c.vh.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 3:15:08 pm 9-Jun-22 on vh-mxl0164v4c.vh.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 3:15:08 pm 9-Jun-22
Event Time: 7:15:08 pm 9-Jun-22 UTC
Log Value: 0.550764
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20764761,Monitoring generated Counter ALARM at 1:30:00 pm 8-Jul-22 on lc10-ruffinilt.lecture-center.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 1:30:00 pm 8-Jul-22 on lc10-ruffinilt.lecture-center.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 1:30:00 pm 8-Jul-22
Event Time: 5:30:00 pm 8-Jul-22 UTC
Log Value: 3.179454
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20811825,Monitoring generated Counter ALARM at 5:50:16 pm 15-Jul-22 on upd-dispatch.service-building.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 5:50:16 pm 15-Jul-22 on upd-dispatch.service-building.computers.suny-np

SNMP Device: N/A
Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations
Type: Counter
Log Object Name: LogicalDisk::Free Space
Agent Alarm Time: 5:50:16 pm 15-Jul-22
Event Time: 9:50:16 pm 15-Jul-22 UTC
Log Value: 4.28683
Alarm Operator: Under
Alarm Threshold: 5 % Free Space
Alarm Duration: 1 Hour(s)
Ticket ID: no ticket assigned"
20022044,Monitoring generated Counter ALARM at 8:58:40 am 30-Mar-22 on sab-2ua80628hh.sab.computers.suny-np N/A,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,General,None,None,"Monitoring generated Counter ALARM at 8:58:40 am 30-Mar-22 on sab-2ua80628hh.sab.computers.suny-np



SNMP Device: N/A

Monitor Set: SUNY - Free Disk Space on C Drive Below 5% - Workstations

Type: Counter

Log Object Name: LogicalDisk::Free Space

Agent Alarm Time: 8:58:40 am 30-Mar-22

Event Time: 12:58:40 pm 30-Mar-22 UTC

Log Value: 4.917163

Alarm Operator: Under

Alarm Threshold: 5 % Free Space

Alarm Duration: 1 Hour(s)

Ticket ID: no ticket assigned"
20342497,SPSS ICN,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,System User,Service Desk,None,None,"Hello, 

 
 


 
 
I am wondering whether you can inform me of the ICN (IBM customer number: 
https://www.ibm.com/support/pages/what-my-ibm-customer-number-icn ) for SPSS. I am about to request for user support and to make such request, IBM statistics asks for an ICN.


 
 
 
 
 
 
 
 
 What is my IBM Customer Number (ICN)? 
 
Answer. An IBM Customer Number (ICN) is the unique number that IBM issues its customers during the post contract signing entitlement process. At the time the ICN is issued to the IBM customer, IBM identifies a Site Technical Contact (STC) from your company.
 These individuals received emails that contained your organization's ICN. 
 
www.ibm.com 
 
 
 
 
 
 


 


 
 
Thanks. 

 
 


 
 
Best, 

 
 
SoeYoon"
20365854,Administrative Assistant 2,Incident,Desktop Support - Faculty/Staff,Brendan Gannon,Service Desk,System User,Systems and Networking,Networking/WiFi,Wireless Network Access,I am able to log into the VPN but my network drives do not show up. I had a shortcut added but when I click on it it does not work either.
20104458,Fw: Access denied,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Paul Chauvet,Systems and Networking,None,None,"I was forwarded to your via Paul Chauvet. ARe you able to assist? Please see below... 
 From: Rendesia Scott
 Sent: Monday, April 11, 2022 1:40 PM
 To: Paul Chauvet 
 Subject: Access denied 
 
Hi Paul, 
 
I am received the following message when I attempt to open one of my Business Orientation videos. Are you the person I should be reaching out to to resolve this? Are you able to see my attempts? 

Rendesia Scott 
Director - Center of Business Advising, VH 206 
School of Business - SUNY New Paltz 
845-257-2909 (office) 
845-257-6939(fax) 
Business Advising email: businessadvising@newpaltz.edu 
Office Hours: 
 M - Th=> 9: 30am -12: 30pm & 2:30pm - 4:30pm 
 Friday => 9: 30am -12: 30pm 

 All appts virtual - Meeting Links emailed the day of the appt 
 Walkins allowed throughout the day 
Fall '22 Registration link:"
20116181,Rachel Artale needs newtworking access to HAC desktop computer,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Systems and Networking,Networking/WiFi,Wired Network Access (Issues),location: 2nd Floor landing Desktop computer does not recognize user.
20132482,Password Reset/Unlock,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Service Desk,None,None,
20402519,Update Adobe Acrobat and Microsoft Word,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Systems and Networking,Office 365,Office 365,"When I use Adobe to manage pdfs such as purchase orders, I am not able to add in the numbers and have them calculate. When I try to print a pdf, it says ""network error."" When I open a Word document, it often says something about micros have not been installed. I think my Word and Adobe programs need to be updated. Thank you very much.
Is the problem that I use Ecosia?
I have the same problem on BOTH computers
JFT 212
CH 113C
I will leave them both on for a few days so you can access remotely. 
Thank you very much,
Sarah"
19987307,Password Reset/Unlock,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Service Desk,"Accounts, Access, & Security",Password Reset (All accounts except NP User ID),"HI, my office desktop is locked , could you reset it for me? I will be teaching from 2:00 to 3:10, in case you need to talk to me."
20249374,Lost all sound and microphone,Incident,Desktop Support - Faculty/Staff,Unassigned,Service Desk,Raymond Ransome,Systems and Networking,Office 365,Office 365,"My computer ran an update yesterday and now I don't have sound or microphone. I'm working remotely today, you can reach me at 845-774-9968"
20768853,Need AMOS in a new laptop,Incident,Desktop Support - Faculty/Staff,Raymond Ransome,Service Desk,Raymond Ransome,Service Desk,None,None,"Hello IT Service Desk, 

 
 


 
 
I hope that all is well with you. I received a new laptop recently (Lenovo L490) and found that IBM's AMOS stat program has not been installed in it. Could you possibly install the program remotely as soon as possible? If I should be online, I can meet around
 9am on Monday (7/11) or Tuesday (7/12). 

 
 


 
 
Best, 

 
 
SoeYoon Choi"
